년 월,날짜,카테고리,주제,상품명,신청자,참석자,오더건수,금액
2025년1월,01월 09일,마이크로비트,(Y/150M) 레트로아케이드,레트로아케이드,99,73,0,0
2025년1월,01월 16일,마이크로비트,(Y/7M) 웨어러블 키트 (create AI),웨어러블키트 (create AI),140,97,0,0
2025년1월,01월 23일,마이크로비트,(Y/32M) New RC카 코볼트,코볼트,105,56,0,0
2025년2월,02월 06일,마이크로비트,(Y/150M) 레트로아케이드,레트로아케이드,83,56,0,0
2025년2월,02월 13일,마이크로비트,(Y/7M) 웨어러블 키트 (create AI),웨어러블키트 (create AI),101,68,0,0
2025년2월,02월 20일,마이크로비트,(Y/32M) 코볼트 RC카(중급반),코볼트,55,23,0,0
2025년2월,02월 27일,마이크로비트,(Y/3M) 신나는 Ai렌즈 스터디 키트,스마트 AI렌즈,79,35,0,0
2025년3월,03월 13일,마이크로비트,(Y/32M) 코볼트 RC카(중급반),코볼트,28,21,1,0
2025년3월,03월 20일,마이크로비트,(Y/5M) RC카 축구게임 키트,RC카 축구게임,39,22,1,0
2025년3월,03월 27일,마이크로비트,축음기 DIY 키트,축음기 DIY 키트,36,19,1,0
2025년4월,04월 10일,마이크로비트,(Y/32M) 코볼트 블록+파이썬,코볼트,20,13,1,0.9
2025년4월,04월 17일,마이크로비트,(Y/150M) 레트로아케이드 NEW 기능 소개,레트로아케이드,63,43,1,0
2025년4월,04월 24일,마이크로비트,마이크로비트 컬러 무드등 키트,마이크로비트 컬러 무드등 키트,39,24,0,0
2025년5월,05월 15일,마이크로비트,(Y/10M) 마이크로비트 올인원 키트,마이크로비트 올인원 키트,46,30,1,2.1
2025년5월,05월 22일,마이크로비트,(Y/40M) 스페이스 코딩키트,스페이스 코딩키트,56,36,0,0
2025년5월,05월 29일,마이크로비트,(Y/32M) 코볼트 + 앱인벤터,코볼트,70,41,1,8.4
2025년6월,06월 12일,마이크로비트,(Y/6M) 마이크로비트 시계 키트 V2 with CreateAI,시계키트V2,55,41,1,0
2025년6월,06월 19일,마이크로비트,(Y/32M) 코볼트 기초,코볼트,26,19,2,0
2025년6월,06월 26일,마이크로비트,(Y/10M) 스마트 그린 하우스 키트,스마트그린하우스키트,44,22,2,0
2025년7월,07월 08일,마이크로비트,(Y/10M) 마이크로비트 올인원 키트,마이크로비트 올인원 키트,46,29,0,0
2025년7월,07월 10일,마이크로비트,(Y/4M) 컬러 LCD for 마이크로비트 & 아두이노,IPS 컬러 LCD,42,24,0,0
2025년7월,07월 15일,마이크로비트,(Y/40M) 스페이스 코딩키트,스페이스 코딩키트,40,13,0,0
2025년7월,07월 17일,마이크로비트,(Y/32M) 코볼트 RC카(중급반),코볼트,34,18,2,3
2025년7월,07월 22일,마이크로비트,(Y/80M) 허스키렌즈,허스키렌즈,63,40,0,0
2025년7월,07월 24일,아두이노,(Y/3M) 아두이노와 블록코딩으로 게임 만들기,아두이노와 블록코딩,54,32,0,0
2025년7월,07월 29일,마이크로비트,(Y/4M) 음성인식센서 for 마이크로비트 & 아두이노,음성인식모듈,53,29,0,0
2025년7월,07월 31일,마이크로비트,(Y/2M) XGO 라이더,XGO 라이더,33,23,0,0
2025년8월,08월 05일,마이크로비트,(Y/6M) 마이크로비트 시계 키트 V2 with CreateAI,시계키트V2,45,37,1,0.02
2025년8월,08월 07일,마이크로비트,(Y/32M) 코볼트 블록 + 파이썬,코볼트,30,22,4,3.83
2025년8월,08월 12일,마이크로비트,(Y/10M) 마이크로비트 올인원 키트,마이크로비트 올인원 키트,28,20,1,0.04
2025년8월,08월 14일,마이크로비트,(Y/3M) 신나는 Ai렌즈 스터디 키트,스마트 AI렌즈,38,19,1,0.7
2025년8월,08월 19일,아두이노,(Y/3M) 전자공학으로 아두이노 실습문제 해결하기,전자공학으로 아두이노,56,45,0,0
2025년8월,08월 21일,마이크로비트,(Y/5M) TPBot,TPBOT,24,15,0,0
2025년8월,08월 26일,마이크로비트,(Y/2M) XGO 라이더,XGO 라이더,9,4,1,0.09
2025년8월,08월 28일,마이크로비트,(Y/5M) RC카 축구게임 키트,RC카 축구게임,29,12,2,0.1
2025년9월,09월 02일,마이크로비트,(Y/32M) 코볼트 기초,코볼트,28,17,5,2.4
2025년9월,09월 04일,마이크로비트,(Y/80M) 허스키렌즈,허스키렌즈,43,30,2,3
2025년9월,09월 09일,마이크로비트,"(Y/105M) 마이크로비트로 사물인터넷(smartIoT) 프로젝트 하기
  (3 중 택1)",스마트그린하우스키트,38,31,3,6.8
2025년9월,09월 11일,아두이노,(Y/15M) 로보두이노 V2,로보두이노 V2,24,17,0,0
2025년9월,09월 16일,마이크로비트,(Y/5M) TPBot,TPBOT,13,7,0,0
2025년9월,09월 18일,ESP32,(Y/6M) ESP32 스타터 키트,ESP32 스타터 키트,40,22,0,0
2025년9월,09월 23일,아두이노,(Y/3M) 아두이노 올인원 키트V2,아두이노 올인원 키트 V2,28,17,0,0
2025년9월,09월 25일,라즈베리파이,(Y/10M) 라즈베리파이 피코 올인원 키트,피코 올인원 키트,38,19,1,0.1
2025년10월,10월 21일,마이크로비트,(Y/32M) 코볼트 RC카 중급반,코볼트,32,20,1,0.36
2025년10월,10월 23일,마이크로비트,(Y/7M) 스마트홈 익스플로러 키트,스마트홈 익스플로러 키트,23,15,0,0
2025년10월,10월 28일,아두이노,(Y/3M) 아두이노 올인원 키트V2,아두이노 올인원 키트 V2,26,17,0,0
2025년10월,10월 30일,라즈베리파이,(Y/10M) 피코 올인원 키트,피코 올인원 키트,28,12,0,0
2025년11월,11월 04일,아두이노,(Y/3M) 전자공학으로 아두이노 실습문제 해결하기,전자공학으로 아두이노,20,9,0,0
2025년11월,11월 06일,마이크로비트,(Y/13M) 마이크로비트로 만드는 웨어러블 프로젝트,웨어러블키트 (create AI),22,18,1,0.03
2025년11월,11월 11일,마이크로비트,(Y/32M) 코볼트 기초(연간판매금액 표시),코볼트,20,14,2,0.34
2025년11월,11월 13일,ESP32,(Y/6M) ESP32 스타터 키트,ESP32 스타터 키트,32,20,1,0.16
2025년11월,11월 18일,마이크로비트,(Y/2M) XGO 라이더,XGO 라이더,13,9,1,0.9
2025년11월,11월 20일,마이크로비트,(Y/10M) 마이크로비트 올인원 키트,마이크로비트 올인원 키트,19,14,0,0
2025년11월,11월 25일,마이크로비트,(Y/0M) 허스키렌즈2,허스키렌즈V2,31,17,0,0
2025년11월,11월 27일,마이크로비트,(Y/157M) 무선 조종기 프로젝트,레트로아케이드,37,30,5,3
2025년12월,12월 02일,마이크로비트,(Y/32M) 코볼트 중급 : AI RC카 제어 제대로 배우기,코볼트,36,22,1,0.15
2025년12월,12월 04일,마이크로비트,(Y/7M) 교실에서 만드는 실전 스마트홈 IoT,스마트홈 익스플로러 키트,30,15,0,0
2025년12월,12월 09일,아두이노,(Y/15M) 로보두이노로 완성하는 스마트 아두이노 RC카 수업,로보두이노 V2,21,17,0,0
2025년12월,12월 11일,마이크로비트,"(Y/9M) 두개 보드, 한 프로젝트로 끝내자! 마이크로비트 × 나두이노 IoT",micro:bit & 나두이노 홈 IoT 키트,24,19,0,0
2025년12월,12월 16일,마이크로비트,(Y/150M) 레트로 아케이드로 만드는 무선 조종기 & 게임 코딩,레트로아케이드,41,31,6,1.11
2025년12월,12월 18일,마이크로비트,"(Y/50M) 새롭게 출시된 허스키렌즈2, 핵심 기능 빠르게 익히기",허스키렌즈2,23,17,0,0
2026년1월,01월 06일,마이크로비트,(Y/32M) 코볼트 RC카 블록코딩 입문수업,코볼트,34,28,3,2.25
2026년1월,01월 08일,마이크로비트,(Y/3M) 인공지능 스마트 AI 카메라 실습,스마트 AI렌즈,49,38,0,0
2026년1월,01월 13일,마이크로비트,(Y/6M) CreateAI 인공지능 실습 (with 마이크로비트 시계키트V2),마이크로비트 시계키트V2,63,48,2,0.3
2026년1월,01월 15일,마이크로비트,(Y/4M) AI 음성인식센서 프로젝트,음성인식센서,42,33,0,0
2026년1월,01월 20일,ESP32,(Y/6M) 아두이노 VS ESP32 - IoT기초와 실습 한 번에,ESP32 스타터 키트,71,53,1,0.15
2026년1월,01월 22일,피코,(Y/10M) 피코 올인원 키트로 배우는 파이썬 실전 프로젝트,피코 올인원키트,36,32,0,0
2026년1월,01월 27일,마이크로비트,(Y/15M) 마이크로비트로 파이썬하기 (파이썬 편집기 알아보기),파이썬과 마이크로비트로 배우는 실전코딩,100,74,0,0
2026년1월,01월 29일,아두이노,(Y/3M) 아두이노 올인원 키트V2로 센서제어하고 퐁 게임 만들어보기,아두이노 올인원키트V2,54,30,1,0.05
2026년2월,02월 03일,마이크로비트,(Y/32M) 파이썬으로 코볼트 제어해보기+ Gemini Vibe Coding,코볼트,101,70,0,0
2026년2월,02월 05일,마이크로비트,(Y/10M) 스마트 그린 하우스 키트로 식물키우기 프로젝트 + Gemini Vibe Coding,스마트 그린하우스,103,67,0,0
2026년2월,02월 10일,마이크로비트,(Y/7M) 스마트홈 익스플로러 키트 + Gemini Vibe Coding,스마트홈 익스플로러 키트,83,67,0,0
2026년2월,02월 12일,마이크로비트,(Y/M) 레트로 아케이드 프로 + Gemini Vibe Coding,레트로 아케이드 프로,113,55,0,0
2026년2월,02월 24일,마이크로비트,(Y/M) 허스키렌즈2 + Gemini Vibe Coding,허스키렌즈2,110,63,0,0
2026년2월,02월 26일,아두이노,(Y/3M) 전자공학으로 아두이노 실습문제 해결하기 + Gemini Vibe Coding,전자공학으로 아두이노 실습문제 해결하기,105,60,0,0
2026년3월,03월 10일,아두이노,(Y/3M) 바이브코딩으로 완성하는 아두이노 센서 프로젝트(중급),아두이노 올인원키트V2,102,68,,
2026년3월,03월 12일,피코,(Y/10M) 바이브 코딩으로 배우는 라즈베리파이 피코 제어 프로젝트(중급),피코 올인원키트,54,32,,
2026년3월,03월 17일,ESP32,(Y/6M) IoT 피지컬 AI! ESP32 바이브 코딩으로 연결되는 세상(초급),ESP32 스타터 키트,72,40,,
2026년3월,03월 19일,마이크로비트,(Y/32M) 피지컬 AI 코볼트로 시작하는 바이브 코딩 기초 수업(초급),코볼트,69,,,
2026년3월,03월 24일,마이크로비트,(Y/M) 바이브 코딩으로 완성하는 레트로 아케이드 프로 게임 제작 수업(중급),레트로 아케이드 프로,54,,,
2026년3월,03월 26일,마이크로비트,(Y/M) 피지컬 AI 허스키렌즈2로 배우는 바이브 코딩 인식 프로젝트(초급),허스키렌즈2,34,,,
2026년3월,03월 31일,마이크로비트,(Y/M) 피지컬 AI 스포츠 코딩키트로 구현하는 스마트 트레이닝 프로젝트(초급),스포츠 코딩키트,26,,,